Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1286.93     0.00        5     0.00     0.00  scen_GetUrbanDataFileCount
  0.00   1286.93     0.00        4     0.00     0.00  coeff_GetStepDiffusion
  0.00   1286.93     0.00        4     0.00     0.00  scen_GetLanduseDataFileCount
  0.00   1286.93     0.00        4     0.00     0.00  scen_GetLanduseDataFilename
  0.00   1286.93     0.00        4     0.00     0.00  scen_GetRoadDataFilename
  0.00   1286.93     0.00        3     0.00     0.00  coeff_GetStartBreed
  0.00   1286.93     0.00        3     0.00     0.00  scen_GetRoadDataFileCount
  0.00   1286.93     0.00        2     0.00     0.00  coeff_GetStartDiffusion
  0.00   1286.93     0.00        2     0.00     0.00  out_banner
  0.00   1286.93     0.00        2     0.00     0.00  scen_GetLogMemoryMapFlag
  0.00   1286.93     0.00        2     0.00     0.00  scen_GetSlopeDataFilename
  0.00   1286.93     0.00        2     0.00     0.00  stats_CreateControlFile
  0.00   1286.93     0.00        2     0.00     0.00  stats_CreateStatsValFile
  0.00   1286.93     0.00        1     0.00     0.00  coeff_ConcatenateFiles
  0.00   1286.93     0.00        1     0.00     0.00  coeff_CreateCoeffFile
  0.00   1286.93     0.00        1     0.00     0.00  coeff_LogBestFit
  0.00   1286.93     0.00        1     0.00     0.00  coeff_LogStart
  0.00   1286.93     0.00        1     0.00     0.00  coeff_LogStep
  0.00   1286.93     0.00        1     0.00     0.00  coeff_LogStop
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetBestFitBreed
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetBestFitDiffusion
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetBestFitRoadGravity
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetBestFitSlopeResist
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetBestFitSpread
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStartBreed
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStartDiffusion
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStartRoadGravity
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStartSlopeResist
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStartSpread
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStepBreed
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStepDiffusion
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStepRoadGravity
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStepSlopeResist
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStepSpread
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStopBreed
  0.00   1286.93     0.00        1     0.00     0.00  coeff_SetStopDiffusion
