Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00   1103.45     0.00       96     0.00     0.00  coeff_GetSavedBreed
  0.00   1103.45     0.00       96     0.00     0.00  coeff_GetSavedDiffusion
  0.00   1103.45     0.00       96     0.00     0.00  coeff_GetSavedRoadGravity
  0.00   1103.45     0.00       96     0.00     0.00  coeff_GetSavedSlopeResist
  0.00   1103.45     0.00       96     0.00     0.00  coeff_GetSavedSpread
  0.00   1103.45     0.00       96     0.00     0.00  coeff_SetCurrentBreed
  0.00   1103.45     0.00       96     0.00     0.00  coeff_SetCurrentDiffusion
  0.00   1103.45     0.00       96     0.00     0.00  coeff_SetCurrentRoadGravity
  0.00   1103.45     0.00       96     0.00     0.00  coeff_SetCurrentSlopeResist
  0.00   1103.45     0.00       96     0.00     0.00  coeff_SetCurrentSpread
  0.00   1103.45     0.00       96     0.00     0.00  stats_CalAverages
  0.00   1103.45     0.00       96     0.00     0.00  stats_ProcessGrowLog
  0.00   1103.45     0.00       96     0.00     0.00  stats_WriteStatsValLine
  0.00   1103.45     0.00       84     0.00     0.00  gdImageChar
  0.00   1103.45     0.00       79     0.00     0.00  scen_GetLogWritesFlag
  0.00   1103.45     0.00       65     0.00     0.00  scen_GetRandomSeed
  0.00   1103.45     0.00       64     0.00     0.00  coeff_LogCurrent
  0.00   1103.45     0.00       64     0.00     0.00  proc_GetNumRunsExecThisCPU
  0.00   1103.45     0.00       64     0.00     0.00  proc_SetCurrentMonteCarlo
  0.00   1103.45     0.00       64     0.00     0.00  proc_SetCurrentYear
  0.00   1103.45     0.00       64     0.00     0.00  scen_GetLogCoeffFlag
  0.00   1103.45     0.00       64     0.00     0.00  scen_GetLogUrbanizationAttemptsFlag
  0.00   1103.45     0.00       64     0.00     0.00  stats_InitUrbanizationAttempts
  0.00   1103.45     0.00       64     0.00     0.00  stats_LogUrbanizationAttempts
  0.00   1103.45     0.00       64     0.00     0.00  timer_Read
  0.00   1103.45     0.00       51     0.00     0.00  coeff_GetStopRoadGravity
  0.00   1103.45     0.00       47     0.00     0.00  gdImageCreate
  0.00   1103.45     0.00       47     0.00     0.00  gdImageDestroy
  0.00   1103.45     0.00       34     0.00     0.00  coeff_GetStepRoadGravity
  0.00   1103.45     0.00       34     0.00     0.00  scen_process_user_color
  0.00   1103.45     0.00       33     0.00     0.00  scen_GetLogTimingsFlag
  0.00   1103.45     0.00       32     0.00     0.00  InitRandom
  0.00   1103.45     0.00       32     0.00     0.00  color_GetColortable
  0.00   1103.45     0.00       32     0.00     0.00  pgrid_GetCumulatePtr
  0.00   1103.45     0.00       32     0.00     0.00  pgrid_GetLand1Ptr
  0.00   1103.45     0.00       32     0.00     0.00  proc_IncrementCurrentRun
  0.00   1103.45     0.00       32     0.00     0.00  proc_IncrementNumRunsExecThisCPU
  0.00   1103.45     0.00       32     0.00     0.00  stats_Analysis
  0.00   1103.45     0.00       27     0.00     0.00  coeff_GetStopSlopeResist
  0.00   1103.45     0.00       21     0.00     0.00  gdImageString
  0.00   1103.45     0.00       21     0.00     0.00  util_AllCAPS
  0.00   1103.45     0.00       18     0.00     0.00  coeff_GetStepSlopeResist
  0.00   1103.45     0.00       17     0.00     0.00  coeff_GetStartRoadGravity
  0.00   1103.45     0.00       15     0.00     0.00  coeff_GetStopSpread
  0.00   1103.45     0.00       15     0.00     0.00  pgrid_GetPGridCount
  0.00   1103.45     0.00       12     0.00     0.00  igrid_Debug
  0.00   1103.45     0.00       12     0.00     0.00  landclass_IsAlandclass
  0.00   1103.45     0.00       12     0.00     0.00  scen_GetProbabilityColorCount
  0.00   1103.45     0.00       11     0.00     0.00  ReadColorMap
  0.00   1103.45     0.00       11     0.00     0.00  gdImageCreateFromGif
  0.00   1103.45     0.00       11     0.00     0.00  grid_dump
  0.00   1103.45     0.00       11     0.00     0.00  igrid_SetGridSizes
  0.00   1103.45     0.00       11     0.00     0.00  igrid_echo_input
  0.00   1103.45     0.00       11     0.00     0.00  mem_GetIGridPtr
  0.00   1103.45     0.00       11     0.00     0.00  scen_GetEchoImageFlag
  0.00   1103.45     0.00       11     0.00     0.00  scen_GetInputDir
  0.00   1103.45     0.00       11     0.00     0.00  scen_GetProbabilityColor
  0.00   1103.45     0.00       10     0.00     0.00  coeff_GetStepSpread
  0.00   1103.45     0.00       10     0.00     0.00  scen_GetNumLanduseClasses
  0.00   1103.45     0.00        9     0.00     0.00  coeff_GetStartSlopeResist
  0.00   1103.45     0.00        9     0.00     0.00  coeff_GetStopBreed
  0.00   1103.45     0.00        8     0.00     0.00  landclassSetColor
  0.00   1103.45     0.00        8     0.00     0.00  landclassSetGrayscale
  0.00   1103.45     0.00        8     0.00     0.00  landclassSetName
  0.00   1103.45     0.00        8     0.00     0.00  landclassSetType
  0.00   1103.45     0.00        8     0.00     0.00  landclass_GetClassColor
  0.00   1103.45     0.00        8     0.00     0.00  scen_GetDeltatronColorCount
  0.00   1103.45     0.00        8     0.00     0.00  scen_GetLanduseClassColor
  0.00   1103.45     0.00        8     0.00     0.00  scen_GetLanduseClassGrayscale
  0.00   1103.45     0.00        8     0.00     0.00  scen_GetLanduseClassName
  0.00   1103.45     0.00        8     0.00     0.00  scen_GetLanduseClassType
  0.00   1103.45     0.00        8     0.00     0.00  scen_GetUrbanDataFilename
  0.00   1103.45     0.00        7     0.00     0.00  coeff_GetStepDiffusion
  0.00   1103.45     0.00        7     0.00     0.00  wgrid_GetWGridCount
  0.00   1103.45     0.00        6     0.00     0.00  coeff_GetStepBreed
  0.00   1103.45     0.00        6     0.00     0.00  coeff_GetStopDiffusion
  0.00   1103.45     0.00        6     0.00     0.00  mem_GetPGridPtr
  0.00   1103.45     0.00        6     0.00     0.00  scen_GetDeltatronColor
  0.00   1103.45     0.00        5     0.00     0.00  coeff_GetStartSpread
  0.00   1103.45     0.00        5     0.00     0.00  scen_GetUrbanDataFileCount
  0.00   1103.45     0.00        4     0.00     0.00  coeff_GetStartDiffusion
  0.00   1103.45     0.00        4     0.00     0.00  gdif_WriteColorKey
  0.00   1103.45     0.00        4     0.00     0.00  scen_GetLanduseDataFileCount
  0.00   1103.45     0.00        4     0.00     0.00  scen_GetLanduseDataFilename
  0.00   1103.45     0.00        4     0.00     0.00  scen_GetRoadDataFilename
  0.00   1103.45     0.00        3     0.00     0.00  coeff_GetStartBreed
  0.00   1103.45     0.00        3     0.00     0.00  scen_GetRoadDataFileCount
  0.00   1103.45     0.00        2     0.00     0.00  out_banner
  0.00   1103.45     0.00        2     0.00     0.00  scen_GetLogMemoryMapFlag
  0.00   1103.45     0.00        2     0.00     0.00  scen_GetSlopeDataFilename
  0.00   1103.45     0.00        2     0.00     0.00  stats_CreateControlFile
  0.00   1103.45     0.00        2     0.00     0.00  stats_CreateStatsValFile
  0.00   1103.45     0.00        1     0.00     0.00  coeff_ConcatenateFiles
  0.00   1103.45     0.00        1     0.00     0.00  coeff_CreateCoeffFile
  0.00   1103.45     0.00        1     0.00     0.00  coeff_LogBestFit
  0.00   1103.45     0.00        1     0.00     0.00  coeff_LogStart
  0.00   1103.45     0.00        1     0.00     0.00  coeff_LogStep
  0.00   1103.45     0.00        1     0.00     0.00  coeff_LogStop
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetBestFitBreed
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetBestFitDiffusion
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetBestFitRoadGravity
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetBestFitSlopeResist
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetBestFitSpread
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStartBreed
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStartDiffusion
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStartRoadGravity
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStartSlopeResist
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStartSpread
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStepBreed
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStepDiffusion
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStepRoadGravity
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStepSlopeResist
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStepSpread
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStopBreed
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStopDiffusion
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStopRoadGravity
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStopSlopeResist
  0.00   1103.45     0.00        1     0.00     0.00  coeff_SetStopSpread
  0.00   1103.45     0.00        1     0.00     0.00  color_Init
  0.00   1103.45     0.00        1     0.00     0.00  color_LogIt
  0.00   1103.45     0.00        1     0.00     0.00  igrid_LogIt
  0.00   1103.45     0.00        1     0.00     0.00  igrid_ReadFiles
  0.00   1103.45     0.00        1     0.00     0.00  igrid_ValidateGrids
  0.00   1103.45     0.00        1     0.00     0.00  igrid_VerifyInputs
  0.00   1103.45     0.00        1     0.00     0.00  igrid_init
  0.00   1103.45     0.00        1     0.00     0.00  landclassSetNumClasses
  0.00   1103.45     0.00        1     0.00     0.00  landclass_Init
  0.00   1103.45     0.00        1     0.00     0.00  landclass_LogIt
  0.00   1103.45     0.00        1     0.00     0.00  mem_CheckMemory
  0.00   1103.45     0.00        1     0.00     0.00  mem_LogMinFreeWGrids
  0.00   1103.45     0.00        1     0.00     0.00  mem_LogPartition
  0.00   1103.45     0.00        1     0.00     0.00  out_center_text
  0.00   1103.45     0.00        1     0.00     0.00  pgrid_Init
  0.00   1103.45     0.00        1     0.00     1.09  print_usage
  0.00   1103.45     0.00        1     0.00     0.00  proc_GetRestartFlag
  0.00   1103.45     0.00        1     0.00     0.00  proc_SetCurrentRun
