Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00   1313.49     0.00     1041     0.00     0.00  scen_GetBust
  0.00   1313.49     0.00     1008     0.00     0.00  scen_GetBoom
  0.00   1313.49     0.00      416     0.00     0.00  util_trim
  0.00   1313.49     0.00      398     0.00     0.00  scen_GetOutputDir
  0.00   1313.49     0.00      391     0.00     0.00  igrid_GetUrbanCount
  0.00   1313.49     0.00      384     0.00     0.00  igrid_UrbanYear2Index
  0.00   1313.49     0.00      320     0.00     0.00  stats_linefit
  0.00   1313.49     0.00      257     0.00     0.00  proc_GetTotalRuns
  0.00   1313.49     0.00      216     0.00     0.00  Putword
  0.00   1313.49     0.00      194     0.00     0.00  out_write_restart_data
  0.00   1313.49     0.00      192     0.00     0.00  igrid_GetUrbanGridPtrByYear
  0.00   1313.49     0.00      192     0.00     0.00  stats_CalStdDev
  0.00   1313.49     0.00      192     0.00     0.00  stats_Save
  0.00   1313.49     0.00      165     0.00     0.00  igrid_GetUrbanYear
  0.00   1313.49     0.00      130     0.00     0.00  scen_GetWriteAvgFileFlag
  0.00   1313.49     0.00      130     0.00     0.00  scen_GetWriteStdDevFileFlag
  0.00   1313.49     0.00      126     0.00     0.00  timer_Format
  0.00   1313.49     0.00       98     0.00     0.00  igrid_GetLanduseGridPtr
  0.00   1313.49     0.00       96     0.00     0.00  coeff_GetSavedBreed
  0.00   1313.49     0.00       96     0.00     0.00  coeff_GetSavedDiffusion
  0.00   1313.49     0.00       96     0.00     0.00  coeff_GetSavedRoadGravity
  0.00   1313.49     0.00       96     0.00     0.00  coeff_GetSavedSlopeResist
  0.00   1313.49     0.00       96     0.00     0.00  coeff_GetSavedSpread
  0.00   1313.49     0.00       96     0.00     0.00  coeff_SetCurrentBreed
  0.00   1313.49     0.00       96     0.00     0.00  coeff_SetCurrentDiffusion
  0.00   1313.49     0.00       96     0.00     0.00  coeff_SetCurrentRoadGravity
  0.00   1313.49     0.00       96     0.00     0.00  coeff_SetCurrentSlopeResist
  0.00   1313.49     0.00       96     0.00     0.00  coeff_SetCurrentSpread
  0.00   1313.49     0.00       96     0.00     0.00  stats_CalAverages
  0.00   1313.49     0.00       96     0.00     0.00  stats_ProcessGrowLog
  0.00   1313.49     0.00       96     0.00     0.00  stats_WriteStatsValLine
  0.00   1313.49     0.00       84     0.00     0.00  gdImageChar
  0.00   1313.49     0.00       79     0.00     0.00  scen_GetLogWritesFlag
  0.00   1313.49     0.00       65     0.00     0.00  scen_GetRandomSeed
